k,algorithm,init,sse,silhouette,davies_bouldin,calinski_harabasz,time_sec
3,K-Means,random,22875.16608567091,0.08216766199446282,2.691958272736711,2877.3571185489736,0.1533198356628418
3,K-Means++,k-means++,22875.138894672185,0.0821863037462672,2.692875549460883,2877.373865017752,0.23800992965698242
3,PSO-KMeans,pso,22875.196516017564,0.08222344886563031,2.693628953296194,2877.345521448487,2.223576307296753
4,K-Means,random,21963.691994266588,0.08072525593311987,2.532613751714402,2414.536981333404,0.24377775192260742
4,K-Means++,k-means++,21962.995040625676,0.08008713758599054,2.529080848623907,2414.9353969676486,0.6135210990905762
4,PSO-KMeans,pso,22038.91883774797,0.07553093820143326,2.79687325758038,2372.016977956566,2.5813865661621094
5,K-Means,random,21196.17697022754,0.07809917743311967,2.4327023542324615,2149.1473587964083,0.36713337898254395
5,K-Means++,k-means++,21195.243874761756,0.08179670464747098,2.451456487669369,2149.5653356225926,0.709871768951416
5,PSO-KMeans,pso,21196.09928297736,0.07810090223708935,2.4328664308117847,2149.1778391708012,3.1850547790527344
6,K-Means,random,20490.23442422537,0.07946226294595199,2.3452997192349434,1986.0697900636078,0.5243654251098633
6,K-Means++,k-means++,20490.24329289341,0.0794504079713112,2.3445375019788632,1986.0671268257906,1.2336759567260742
6,PSO-KMeans,pso,20500.188064448055,0.07912754061511333,2.3468910949238535,1982.5424778520508,3.421647310256958
