algorithm,run,seed,sse
K-Means,1,42,24861.413325505022
K-Means++,1,42,24159.616863378167
PSO-KMeans,1,42,24538.17893124536
K-Means,2,43,24499.8833162976
K-Means++,2,43,24275.362832176444
PSO-KMeans,2,43,24275.938503174322
K-Means,3,44,24648.18576512469
K-Means++,3,44,24636.45881383767
PSO-KMeans,3,44,24176.604592720043
K-Means,4,45,24520.644232533672
K-Means++,4,45,24132.920484386035
PSO-KMeans,4,45,24619.820255197166
K-Means,5,46,24574.677648112876
K-Means++,5,46,24787.306115935364
PSO-KMeans,5,46,24561.320927540608
K-Means,6,47,24559.553021595242
K-Means++,6,47,24272.667954715253
PSO-KMeans,6,47,24076.949180392592
K-Means,7,48,24349.142775973098
K-Means++,7,48,24857.11689160259
PSO-KMeans,7,48,24107.965024582652
K-Means,8,49,24056.395775027206
K-Means++,8,49,24794.63354489889
PSO-KMeans,8,49,24794.078073399436
K-Means,9,50,25024.665675848817
K-Means++,9,50,24327.16456974047
PSO-KMeans,9,50,24669.350496417755
K-Means,10,51,24891.267481597253
K-Means++,10,51,24272.667954715253
PSO-KMeans,10,51,24054.92108605899
