iteration,global_best_sse
0,36976.94140367068
1,36770.545724598385
2,29828.64585836721
3,28841.879452867954
4,28546.464212338404
5,27853.841740336284
6,27823.79279832546
7,27823.79279832546
8,27823.79279832546
9,27619.548095982376
10,27418.842102202943
11,27367.392355694083
12,27242.012857029564
13,27212.64184058928
14,27199.3797400945
15,27178.780970437772
16,27174.536357776327
17,27149.546976117595
18,27139.158418510884
19,27115.869789091637
20,27105.301705044953
21,27059.373868698385
22,26968.644369336987
23,26968.644369336987
24,26910.967457619525
25,26910.967457619525
26,26903.911734290647
27,26903.911734290647
28,26883.403223969886
29,26860.98154858999
30,26860.98154858999
